verbatimIdentification,cleanedTaxonomy,ambiguous,selected_match,name_change,scientificName,taxonRank,scientificNameID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sialis,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sialis,False,True,False,Argentina sialis,Species,urn:lsid:marinespecies.org:taxname:272897,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,Success_Batch_Argentina sialis,WoRMS
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,False,True,False,Argentina striata,Species,urn:lsid:marinespecies.org:taxname:158718,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,Success_Batch_Argentina striata,WoRMS
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,False,False,False,Argentina striata,Species,urn:lsid:marinespecies.org:taxname:158718,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,Success_Batch_Argentina striata,WoRMS
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae,Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae,False,True,False,Bathylagidae,Family,urn:lsid:marinespecies.org:taxname:125509,Animalia,Chordata,Teleostei,Argentiniformes,Bathylagidae,,Success_Batch_Bathylagidae,WoRMS
Eukaryota;Chordata;Actinopteri;Ateleopodiformes;Ateleopodidae;Ijimaia,Eukaryota;Chordata;Actinopteri;Ateleopodiformes;Ateleopodidae;Ijimaia,True,True,False,Ijimaia,Genus,urn:lsid:marinespecies.org:taxname:125658,Animalia,Chordata,Teleostei,Ateleopodiformes,Ateleopodidae,Ijimaia,Success_Batch_Ijimaia,WoRMS
Eukaryota;Chordata;Actinopteri;Ateleopodiformes;Ateleopodidae;Ijimaia,Eukaryota;Chordata;Actinopteri;Ateleopodiformes;Ateleopodidae;Ijimaia,True,True,True,Ijimaiellia,Genus,urn:lsid:marinespecies.org:taxname:468561,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Calwelliidae,Ijimaiellia,Success_Batch_Ijimaia,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus,Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus,False,True,False,Chlorophthalmus,Genus,urn:lsid:marinespecies.org:taxname:125664,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Success_Batch_Chlorophthalmus,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,False,False,False,Chlorophthalmus agassizi,Species,urn:lsid:marinespecies.org:taxname:126336,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Success_Batch_Chlorophthalmus agassizi,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,False,True,False,Chlorophthalmus agassizi,Species,urn:lsid:marinespecies.org:taxname:126336,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Success_Batch_Chlorophthalmus agassizi,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,False,False,False,Paralepididae,Family,urn:lsid:marinespecies.org:taxname:125447,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,,Success_Batch_Paralepididae,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,False,True,False,Paralepididae,Family,urn:lsid:marinespecies.org:taxname:125447,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,,Success_Batch_Paralepididae,WoRMS
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestidiops,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestidiops,False,True,False,Lestidiops,Genus,urn:lsid:marinespecies.org:taxname:125675,Animalia,Chordata,Teleostei,Aulopiformes,Paralepididae,Lestidiops,Success_Batch_Lestidiops,WoRMS
