verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestrolepis;Lestrolepis intermedia,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestrolepis;Lestrolepis intermedia,True,"Lestrolepis intermedia (Poey, 1868)",100,species,gbif:2401542,Animalia,Chordata,,Aulopiformes,Paralepididae,Lestrolepis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestrolepis;Lestrolepis intermedia,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestrolepis;Lestrolepis intermedia,False,"Lestrolepis intermedia (Poey, 1868)",99,species,gbif:2401542,Animalia,Chordata,,Aulopiformes,Paralepididae,Lestrolepis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Stemonosudis;Stemonosudis rothschildi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Stemonosudis;Stemonosudis rothschildi,True,"Stemonosudis rothschildi Richards, 1967",100,species,gbif:2401629,Animalia,Chordata,,Aulopiformes,Paralepididae,Stemonosudis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Stemonosudis;Stemonosudis rothschildi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Stemonosudis;Stemonosudis rothschildi,False,"Stemonosudis rothschildi Richards, 1967",99,species,gbif:2401629,Animalia,Chordata,,Aulopiformes,Paralepididae,Stemonosudis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Scopelarchidae;Scopelarchus;Scopelarchus analis,Eukaryota;Chordata;Actinopteri;Aulopiformes;Scopelarchidae;Scopelarchus;Scopelarchus analis,True,"Scopelarchus analis (Brauer, 1902)",100,species,gbif:2401446,Animalia,Chordata,,Aulopiformes,Scopelarchidae,Scopelarchus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida brasiliensis,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida brasiliensis,True,"Saurida brasiliensis Norman, 1935",100,species,gbif:2401157,Animalia,Chordata,,Aulopiformes,Synodontidae,Saurida,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,True,"Saurida normani Longley, 1935",100,species,gbif:2401149,Animalia,Chordata,,Aulopiformes,Synodontidae,Saurida,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida normani,False,"Saurida normani Longley, 1935",99,species,gbif:2401149,Animalia,Chordata,,Aulopiformes,Synodontidae,Saurida,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae,True,Exocoetidae,97,family,gbif:2968,Animalia,Chordata,,Beloniformes,Exocoetidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,True,"Cheilopogon Lowe, 1841",96,genus,gbif:2368477,Animalia,Chordata,,Beloniformes,Exocoetidae,Cheilopogon,GBIF_EXACT,GBIF
