featureid	BLK-03-12S_S51_L001	BLK-1-3-12S_S55_L001	BLK-1-4-12S_S56_L001	D01-01-12S_S1_L001	D01-02-12S_S2_L001	D01-03-12S_S3_L001	D01-04-12S_S4_L001	D01-05-12S_S5_L001	D02-01-12S_S7_L001	D02-02-12S_S8_L001	D02-03-12S_S9_L001	D02-04-12S_S10_L001	D02-05-12S_S11_L001	D02-BLK-12S_S12_L001	D03-02-12S_S14_L001	D03-03-12S_S15_L001	D03-04-12S_S16_L001	D03-05-12S_S17_L001	D03-06-12S_S13_L001	D04-02-12S_S19_L001	D04-03-12S_S20_L001	D04-04-12S_S21_L001	D04-05-12S_S22_L001	D04-06-12S_S23_L001	D04-BLK-12S_S24_L001	D06-02-12S_S27_L001	D06-03-12S_S28_L001	D06-04-12S_S29_L001	D06-05-12S_S30_L001	D06-06-12S_S31_L001	D06-BLK-12S_S32_L001	D07-05-12S_S33_L001	D07-06-12S_S34_L001	D07-07-12S_S35_L001	D07-08-12S_S36_L001	D07-09-12S_S37_L001	D08-06-12S_S39_L001	D08-07-12S_S40_L001	D08-08-12S_S41_L001	D08-09-12S_S42_L001	D08-10-12S_S43_L001	D08-BLK-12S_S44_L001	D09-04-12S_S45_L001	D09-05-12S_S46_L001	D09-06-12S_S47_L001	D09-07-12S_S48_L001	D09-08-12S_S49_L001	D09-BLK-12S_S50_L001	D07-BLK-12S_S38_L001	D01-BLK-12S_S6_L001	BLK-1-6-12S_S58_L001	BLK-1-1-12S_S53_L001	D03-BLK-12S_S18_L001	BLK-02-12S_S26_L001	BLK-1-2-12S_S54_L001	BLK-1-5-12S_S57_L001	BLK-04-12S_S52_L001	BLK-01-12S_S25_L001
21b7af1aa4a579982087a92373bed40d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d5762d581ff2b9ac86000b00a37f3627	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26812	0	0	0	0	0	0	0	0	3427	0	0	0	0	0	0	0	9091	0	0	0	0	0	0	0	0	0	0	0	0
abb86c11d16141d5d3d9c49fe8647814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efa99dea864523325b1e09ccc1196ac4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6580c04f57971f121a5b84fc85aad81a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23541	0	0	0	0	0	0	0	0	0	0	0	0	4909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69a05c28141c7bd42d5bc7bd6338b638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82fef66626850d1d79d1ff06e7d19c61	0	0	0	146	2292	0	0	2176	0	0	0	2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4128	0	0	885	0	0	7562	0	0	473	0	0	0	106	8456	0	0	0	0	0	0	0	0	0	0
1f914fd886fc5ea414791a58998400f1	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00f15054426e6129f68df07b3d63da8e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ebf8e66820961db04be86f08b1f2691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
